 SYSTEM :            1
        z       Tref      rho    expan        Cp      Tcond
 LAYER:            1
  2.609576E+06  1.754876E+03  3.530194E+03  2.722344E-05  1.200000E+03  3.516179E+00
  2.577787E+06  1.767224E+03  3.562289E+03  2.632994E-05  1.200000E+03  3.580403E+00
  2.544121E+06  1.779965E+03  3.595772E+03  2.544305E-05  1.200000E+03  3.648026E+00
  2.508531E+06  1.793079E+03  3.630631E+03  2.456560E-05  1.200000E+03  3.719100E+00
  2.470998E+06  1.806535E+03  3.666826E+03  2.370073E-05  1.200000E+03  3.793625E+00
  2.431514E+06  1.820301E+03  3.704309E+03  2.285138E-05  1.200000E+03  3.871580E+00
  2.390106E+06  1.834332E+03  3.742999E+03  2.202065E-05  1.200000E+03  3.952876E+00
  2.346835E+06  1.848575E+03  3.782790E+03  2.121161E-05  1.200000E+03  4.037365E+00
  2.301773E+06  1.862980E+03  3.823569E+03  2.042676E-05  1.200000E+03  4.124882E+00
  2.255029E+06  1.877487E+03  3.865199E+03  1.966855E-05  1.200000E+03  4.215192E+00
  2.206720E+06  1.892042E+03  3.907544E+03  1.893871E-05  1.200000E+03  4.308057E+00
  2.156983E+06  1.906589E+03  3.950459E+03  1.823865E-05  1.200000E+03  4.403204E+00
  2.105950E+06  1.921078E+03  3.993811E+03  1.756907E-05  1.200000E+03  4.500376E+00
  2.053777E+06  1.935462E+03  4.037459E+03  1.693048E-05  1.200000E+03  4.599280E+00
  2.000589E+06  1.949703E+03  4.081289E+03  1.632260E-05  1.200000E+03  4.699681E+00
  1.946525E+06  1.963766E+03  4.125190E+03  1.574503E-05  1.200000E+03  4.801329E+00
  1.891706E+06  1.977625E+03  4.169066E+03  1.519694E-05  1.200000E+03  4.904008E+00
  1.836242E+06  1.991259E+03  4.212838E+03  1.467731E-05  1.200000E+03  5.007525E+00
  1.780227E+06  2.004652E+03  4.256442E+03  1.418489E-05  1.200000E+03  5.111721E+00
  1.723754E+06  2.017794E+03  4.299819E+03  1.371842E-05  1.200000E+03  5.216438E+00
  1.666890E+06  2.030679E+03  4.342932E+03  1.327647E-05  1.200000E+03  5.321571E+00
  1.609706E+06  2.043302E+03  4.385744E+03  1.285772E-05  1.200000E+03  5.427004E+00
  1.552252E+06  2.055664E+03  4.428231E+03  1.246075E-05  1.200000E+03  5.532664E+00
  1.494577E+06  2.067766E+03  4.470376E+03  1.208424E-05  1.200000E+03  5.638476E+00
  1.436715E+06  2.079612E+03  4.512168E+03  1.172689E-05  1.200000E+03  5.744395E+00
  1.378710E+06  2.091204E+03  4.553594E+03  1.138753E-05  1.200000E+03  5.850357E+00
  1.320578E+06  2.102551E+03  4.594657E+03  1.106496E-05  1.200000E+03  5.956346E+00
  1.262346E+06  2.113656E+03  4.635353E+03  1.075811E-05  1.200000E+03  6.062326E+00
  1.204027E+06  2.124529E+03  4.675689E+03  1.046593E-05  1.200000E+03  6.168291E+00
  1.145652E+06  2.135173E+03  4.715656E+03  1.018757E-05  1.200000E+03  6.274194E+00
  1.087234E+06  2.145595E+03  4.755261E+03  9.922122E-06  1.200000E+03  6.380026E+00
  1.028771E+06  2.155805E+03  4.794518E+03  9.668731E-06  1.200000E+03  6.485800E+00
  9.702971E+05  2.165804E+03  4.833416E+03  9.426738E-06  1.200000E+03  6.591467E+00
  9.118233E+05  2.175599E+03  4.871961E+03  9.195445E-06  1.200000E+03  6.697016E+00
  8.533605E+05  2.185196E+03  4.910157E+03  8.974210E-06  1.200000E+03  6.802437E+00
  7.949473E+05  2.194597E+03  4.947992E+03  8.762539E-06  1.200000E+03  6.907670E+00
  7.366113E+05  2.203804E+03  4.985457E+03  8.559929E-06  1.200000E+03  7.012675E+00
  6.784131E+05  2.212816E+03  5.022527E+03  8.366020E-06  1.200000E+03  7.117349E+00
  6.204134E+05  2.221630E+03  5.059174E+03  8.180463E-06  1.200000E+03  7.221592E+00
  5.627168E+05  2.230239E+03  5.095345E+03  8.003061E-06  1.200000E+03  7.325223E+00
  5.054777E+05  2.238627E+03  5.130956E+03  7.833750E-06  1.200000E+03  7.427971E+00
  4.488946E+05  2.246775E+03  5.165898E+03  7.672569E-06  1.200000E+03  7.529486E+00
  3.932541E+05  2.254651E+03  5.200012E+03  7.519759E-06  1.200000E+03  7.629261E+00
  3.389089E+05  2.262218E+03  5.233103E+03  7.375673E-06  1.200000E+03  7.726667E+00
  2.863001E+05  2.269427E+03  5.264924E+03  7.240820E-06  1.200000E+03  7.820921E+00
  2.359183E+05  2.276227E+03  5.295207E+03  7.115745E-06  1.200000E+03  7.911149E+00
  1.882594E+05  2.282567E+03  5.323683E+03  7.000938E-06  1.200000E+03  7.996466E+00
  1.437371E+05  2.288411E+03  5.350139E+03  6.896641E-06  1.200000E+03  8.076140E+00
  1.026268E+05  2.293741E+03  5.374444E+03  6.802778E-06  1.200000E+03  8.149683E+00
  6.503338E+04  2.298560E+03  5.396566E+03  6.718924E-06  1.200000E+03  8.216914E+00
  3.089058E+04  2.302891E+03  5.416574E+03  6.644354E-06  1.200000E+03  8.277956E+00
  0.000000E+00  2.306774E+03  5.434609E+03  6.578152E-06  1.200000E+03  8.333171E+00
        z       Tref      rho    expan        Cp      Tcond
 LAYER:            5
  2.890000E+06  1.600000E+03  3.240000E+03  3.100859E-05  1.200000E+03  2.945455E+00
